speaker,event,frame_start,frame_end
speaker_left,greetings,27,55
speaker_left,need_info,706,811
speaker_left,interjection,1002,1020
speaker_left,share_info,2025,2133
speaker_left,init_discussion,2160,2305
speaker_left,answer,2431,2488
speaker_left,answer,2507,2538
speaker_left,interuption,2717,2738
speaker_left,interjection,3205,3212
speaker_left,interjection,3298,3309
speaker_left,bye,3350,3379
speaker_right,greetings,3,25
speaker_right,obj_proposal,420,685
speaker_right,interjection,905,920
speaker_right,interjection,1002,1020
speaker_right,interjection,1261,1272
speaker_right,interuption,1370,1540
speaker_right,interjection,1550,1564
speaker_right,share_info,1566,1929
speaker_right,share_info,1951,2008
speaker_right,interuption,2030,2055
speaker_right,interjection,2145,2155
speaker_right,answer,2389,2430
speaker_right,interjection,2492,2515
speaker_right,open_question,2541,2700
speaker_right,discuss_open_question,2738,2797
speaker_right,interjection,2838,2845
speaker_right,conclusion,2861,2937
speaker_right,interjection,3017,3024
speaker_right,interjection,3114,3125
speaker_right,conclusion,3128,3200
speaker_right,conclusion,3214,3260
speaker_right,interjection,3272,3287
speaker_right,interjection,3293,3309
speaker_right,bye,3341,3379
speaker_front,greetings,27,55
speaker_front,intro_proposal,67,410
speaker_front,interjection,689,699
speaker_front,share_info,828,984
speaker_front,share_info,1015,1395
speaker_front,interuption,1497,1545
speaker_front,interjection,1947,1957
speaker_front,interjection,2015,2021
speaker_front,answer,2322,2385
speaker_front,interjection,2497,2515
speaker_front,interjection,2544,2555
speaker_front,discuss_open_question,2714,2738
speaker_front,discuss_open_question,2801,2851
speaker_front,interjection,2874,2883
speaker_front,conclusion,2953,3114
speaker_front,conclusion,3186,3214
speaker_front,conclusion,3230,3260
speaker_front,interjection,3272,3287
speaker_front,bye,3315,3379
