speaker,event,frame_start,frame_end
speaker_left,greetings,50,60
speaker_left,obj_proposal,314,440
speaker_left,interuption,1088,1157
speaker_left,share_info,1160,1335
speaker_left,answer,1455,1485
speaker_left,interjection,1740,1755
speaker_left,open_question,1760,1955
speaker_left,discuss_open_question,1975,2117
speaker_left,interjection,2255,2272
speaker_left,interjection,2390,2400
speaker_left,interjection,2494,2505
speaker_left,interjection,2509,2520
speaker_left,bye,2556,2570
speaker_right,greetings,22,50
speaker_right,intro_proposal,79,300
speaker_right,interjection,441,453
speaker_right,interuption,644,656
speaker_right,share_info,680,1110
speaker_right,answer,1455,1485
speaker_right,interjection,1615,1630
speaker_right,interjection,2122,2134
speaker_right,discuss_open_question,2260,2350
speaker_right,conclusion,2420,2455
speaker_right,interjection,2499,2519
speaker_right,interjection,2528,2535
speaker_right,bye,2540,2560
speaker_front,greetings,62,78
speaker_front,need_info,456,675
speaker_front,interjection,785,790
speaker_front,interjection,945,952
speaker_front,interjection,1345,1360
speaker_front,init_discussion,1375,1435
speaker_front,answer,1455,1485
speaker_front,answer,1490,1595
speaker_front,answer,1615,1735
speaker_front,interjection,1965,1973
speaker_front,interjection,2074,2085
speaker_front,discuss_open_question,2120,2254
speaker_front,discuss_open_question,2350,2420
speaker_front,conclusion,2458,2490
speaker_front,interjection,2509,2520
speaker_front,interjection,2540,2550
speaker_front,bye,2569,2590
