speaker,event,frame_start,frame_end
speaker_left,greetings,62,80
speaker_left,obj_proposal,320,485
speaker_left,interuption,950,1105
speaker_left,share_info,1126,1435
speaker_left,interjection,1760,1773
speaker_left,interjection,1800,1812
speaker_left,answer,1924,1950
speaker_left,answer,1956,1980
speaker_left,interjection,2284,2300
speaker_left,answer,2315,2350
speaker_left,interjection,2355,2365
speaker_left,open_question,2373,2660
speaker_left,discuss_open_question,2685,2720
speaker_left,interjection,2778,2788
speaker_left,interjection,3027,3052
speaker_left,conclusion,3058,3110
speaker_left,interjection,3140,3155
speaker_left,interjection,3155,3177
speaker_left,bye,3180,3210
speaker_right,greetings,51,62
speaker_right,need_info,496,625
speaker_right,interjection,750,760
speaker_right,interjection,1384,1389
speaker_right,interjection,1439,1450
speaker_right,share_info,1450,1745
speaker_right,interjection,1775,1783
speaker_right,init_discussion,1814,1890
speaker_right,interjection,1965,1971
speaker_right,answer,1981,2280
speaker_right,interjection,2310,2315
speaker_right,interjection,2673,2695
speaker_right,interjection,2724,2735
speaker_right,discuss_open_question,2815,3017
speaker_right,conclusion,3067,3080
speaker_right,interjection,3115,3140
speaker_right,bye,3155,3177
speaker_right,bye,3180,3210
speaker_front,greetings,7,51
speaker_front,intro_proposal,85,320
speaker_front,interjection,460,470
speaker_front,interjection,485,495
speaker_front,share_info,635,970
speaker_front,interjection,1106,1110
speaker_front,interjection,1755,1765
speaker_front,answer,1908,1950
speaker_front,interjection,1955,1965
speaker_front,interjection,2316,2350
speaker_front,discuss_open_question,2720,2813
speaker_front,interjection,3017,3026
speaker_front,interjection,3140,3155
speaker_front,bye,3212,3255
