frame_number;event;key_point
1;sound_front;
7;speaker_front_start;greetings
51;speaker_front_stop;greetings
51;speaker_right_start;greetings
62;speaker_right_stop;greetings
62;speaker_left_start;greetings
62;sound_left;
80;speaker_left_stop;greetings
80;sound_front;
85;speaker_front_start;intro_proposal
320;speaker_front_stop;intro_proposal
320;speaker_left_start;obj_proposal
328;sound_left;
460;speaker_front_start;interjection
470;speaker_front_stop;interjection
485;speaker_left_stop;obj_proposal
485;speaker_front_start;interjection
495;speaker_front_stop;interjection
496;speaker_right_start;need_info
511;sound_right;
625;speaker_right_stop;need_info
635;speaker_front_start;share_info
655;sound_front;
750;speaker_right_start;interjection
760;speaker_right_stop;interjection
764;non_essential_info_start;
768;sound_right;
785;sound_front;
950;speaker_left_start;interuption
965;sound_left;
970;speaker_front_stop;share_info
1105;speaker_left_stop;interuption
1106;speaker_front_start;interjection
1110;speaker_front_stop;interjection
1126;speaker_left_start;share_info
1384;speaker_right_start;interjection
1389;speaker_right_stop;interjection
1435;speaker_left_stop;share_info
1439;speaker_right_start;interjection
1450;speaker_right_stop;interjection
1450;speaker_right_start;share_info
1457;sound_right;
1745;speaker_right_stop;share_info
1755;speaker_front_start;interjection
1760;speaker_left_start;interjection
1765;speaker_front_stop;interjection
1773;speaker_left_stop;interjection
1775;sound_front;
1775;speaker_right_start;interjection
1783;speaker_right_stop;interjection
1798;sound_right;
1800;speaker_left_start;interjection
1812;speaker_left_stop;interjection
1814;speaker_right_start;init_discussion
1890;speaker_right_stop;init_discussion
1908;speaker_front_start;answer
1924;speaker_left_start;answer
1935;sound_front;
1950;speaker_front_stop;answer
1950;speaker_left_stop;answer
1955;speaker_front_start;interjection
1956;speaker_left_start;answer
1960;sound_right;
1965;speaker_front_stop;interjection
1965;speaker_right_start;interjection
1971;speaker_right_stop;interjection
1980;speaker_left_stop;answer
1981;speaker_right_start;answer
2280;speaker_right_stop;answer
2284;speaker_left_start;interjection
2300;speaker_left_stop;interjection
2310;sound_left;
2310;speaker_right_start;interjection
2315;speaker_right_stop;interjection
2315;speaker_left_start;answer
2316;speaker_front_start;interjection
2350;speaker_left_stop;answer
2350;speaker_front_stop;interjection
2355;speaker_left_start;interjection
2365;speaker_left_stop;interjection
2373;speaker_left_start;open_question
2660;speaker_left_stop;open_question
2673;speaker_right_start;interjection
2680;sound_right;
2685;speaker_left_start;discuss_open_question
2695;speaker_right_stop;interjection
2720;speaker_left_stop;discuss_open_question
2720;sound_left;
2720;speaker_front_start;discuss_open_question
2724;speaker_right_start;interjection
2735;speaker_right_stop;interjection
2745;sound_front;
2778;speaker_left_start;interjection
2788;speaker_left_stop;interjection
2813;speaker_front_stop;discuss_open_question
2815;speaker_right_start;discuss_open_question
2830;sound_right;
3017;speaker_right_stop;discuss_open_question
3017;speaker_front_start;interjection
3026;speaker_front_stop;interjection
3027;sound_left;
3027;speaker_left_start;interjection
3052;speaker_left_stop;interjection
3058;speaker_left_start;conclusion
3067;speaker_right_start;conclusion
3080;speaker_right_stop;conclusion
3110;speaker_left_stop;conclusion
3115;speaker_right_start;interjection
3135;sound_front;
3140;speaker_right_stop;interjection
3140;speaker_left_start;interjection
3140;speaker_front_start;interjection
3155;speaker_left_stop;interjection
3155;speaker_front_stop;interjection
3155;sound_left;
3155;speaker_left_start;interjection
3155;speaker_right_start;bye
3177;speaker_left_stop;interjection
3177;speaker_right_stop;bye
3180;speaker_left_start;bye
3180;speaker_right_start;bye
3210;speaker_left_stop;bye
3210;speaker_right_stop;bye
3212;speaker_front_start;bye
3223;sound_front;
3255;speaker_front_stop;bye
