speaker,event,frame_start,frame_end
speaker_left,greetings,7,39
speaker_left,intro_proposal,58,400
speaker_left,interjection,485,500
speaker_left,answer,640,745
speaker_left,share_info,880,1460
speaker_left,interjection,1745,1765
speaker_left,answer,2387,2455
speaker_left,answer,2613,2695
speaker_left,interjection,2795,2815
speaker_left,discuss_open_question,2933,3250
speaker_left,interjection,3328,3333
speaker_left,interjection,3396,3401
speaker_left,discuss_open_question,3403,3415
speaker_left,conclusion,3502,3530
speaker_left,bye,3552,3565
speaker_right,greetings,39,57
speaker_right,need_info,745,870
speaker_right,interjection,973,983
speaker_right,share_info,1841,2250
speaker_right,init_discussion,2265,2400
speaker_right,interjection,2455,2468
speaker_right,answer,2481,2605
speaker_right,interjection,2707,2719
speaker_right,answer,2726,2755
speaker_right,interjection,2770,2780
speaker_right,discuss_open_question,3251,3317
speaker_right,interjection,3341,3349
speaker_right,interjection,3390,3401
speaker_right,discuss_open_question,3406,3495
speaker_right,interjection,3532,3550
speaker_right,bye,3568,3590
speaker_front,greetings,39,57
speaker_front,obj_proposal,417,615
speaker_front,interuption,1442,1530
speaker_front,share_info,1554,1789
speaker_front,answer,2468,2481
speaker_front,interuption,2739,2769
speaker_front,interjection,2780,2795
speaker_front,open_question,2827,2910
speaker_front,interjection,3228,3245
speaker_front,discuss_open_question,3342,3385
speaker_front,interjection,3483,3492
speaker_front,bye,3536,3555
speaker_front,bye,3568,3590
