frame_number;event;key_point
1;sound_front;
9;speaker_right_start;greetings
9;sound_right;
40;speaker_right_stop;greetings
40;speaker_front_start;greetings
45;speaker_left_start;greetings
42;speaker_right_start;intro_proposal
55;sound_front;
55;speaker_front_stop;greetings
55;speaker_left_stop;greetings
70;sound_right;
435;speaker_right_stop;intro_proposal
440;speaker_front_start;obj_proposal
460;sound_front;
655;speaker_front_stop;obj_proposal
677;speaker_right_start;interjection
682;speaker_left_start;interjection
688;sound_left;
700;speaker_right_stop;interjection
702;speaker_left_stop;interjection
703;speaker_right_start;interjection
712;speaker_right_stop;interjection
715;speaker_left_start;need_info
980;speaker_left_stop;need_info
983;speaker_front_start;share_info
1005;sound_front;
1105;speaker_front_stop;share_info
1119;speaker_left_start;interjection
1125;speaker_left_stop;interjection
1128;speaker_right_start;interjection
1135;sound_left;
1142;speaker_right_stop;interjection
1145;sound_front;
1148;speaker_right_start;share_info
1165;sound_right;
1351;speaker_front_start;interjection
1363;speaker_front_stop;interjection
1370;sound_front;
1381;sound_right;
1551;non_essential_info_start;
1726;speaker_front_start;interuption
1740;speaker_front_stop;interuption
1748;non_essential_info_stop;
1748;speaker_right_stop;share_info
1748;non_essential_info_stop;
1751;speaker_front_start;interuption
1763;sound_front;
1906;speaker_front_stop;interuption
1910;speaker_right_start;interuption
1936;speaker_front_start;interuption
1940;sound_right;
1945;speaker_right_stop;interuption
1955;sound_front;
1955;speaker_right_start;interjection
1965;speaker_right_stop;interjection
1975;speaker_front_stop;interuption
1982;speaker_left_start;init_discussion
1999;sound_left;
2109;speaker_left_stop;init_discussion
2119;speaker_front_start;answer
2135;sound_front;
2157;speaker_right_start;answer
2175;speaker_front_stop;answer
2175;sound_right;
2203;speaker_right_stop;answer
2205;speaker_left_start;answer
2216;sound_left;
2435;speaker_left_stop;answer
2454;speaker_front_start;interjection
2460;speaker_right_start;interjection
2475;sound_front;
2485;speaker_front_stop;interjection
2485;speaker_right_stop;
2500;speaker_front_start;open_question
2595;speaker_front_stop;open_question
2615;speaker_left_start;discuss_open_question
2620;speaker_right_start;discuss_open_question
2627;sound_left;
2635;speaker_left_stop;discuss_open_question
2640;sound_right;
2650;speaker_right_stop;discuss_open_question
2655;speaker_front_start;discuss_open_question
2665;sound_front;
2661;speaker_right_start;interjection
2667;speaker_right_stop;interjection
2820;speaker_right_start;interjection
2835;sound_right;
2842;speaker_right_stop;interjection
2851;speaker_right_start;discuss_open_question
2865;speaker_front_stop;discuss_open_question
2905;speaker_right_stop;discuss_open_question
2905;speaker_front_start;interjection
2910;sound_front;
2915;speaker_front_stop;interjection
2917;speaker_left_start;interjection
2920;sound_right;
2925;speaker_left_stop;interjection
2927;speaker_right_start;interjection
2940;speaker_right_stop;interjection
2947;speaker_front_start;interjection
2951;speaker_right_start;conclusion
2968;sound_left;
2970;speaker_front_stop;interjection
2972;speaker_right_stop;conclusion
2976;speaker_front_start;conclusion
2985;sound_right;
3010;speaker_front_stop;conclusion
3011;speaker_left_start;interjection
3014;sound_front;
3025;speaker_left_stop;interjection
3025;speaker_left_start;bye
3025;speaker_front_start;bye
3025;speaker_right_start;bye
3035;sound_left;
3045;sound_front;
3080;speaker_front_stop;bye
3080;speaker_left_stop;bye
3080;speaker_right_stop;bye
